,varname1,varval1,lift,cumlift,booster
1540,cell_shape:spiral,1,0.8241956807150927,0.8241956807150927,/1.2
1541,cell_shape:spore,0,1.0001110185956148,1.0001110185956148,x1.0
1542,cell_shape:square,0,1.0001110185956148,1.0001110185956148,x1.0
1543,cell_shape:star,0,0.9997324768898211,0.9997324768898211,/1.0
1544,cell_shape:star_dumbbell_pleomorphic,0,1.0004545059009082,1.0004545059009082,x1.0
1545,cell_shape:vibrio,0,0.9992941323367307,0.9992941323367307,/1.0
1546,cell_shape:vibrio,1,1.1239766587006805,1.1239766587006805,x1.1
1547,cell_width:high,0,0.9899783373719725,0.9899783373719725,/1.0
1548,cell_width:high,1,1.3833558876316066,1.3833558876316066,x1.4
1549,cell_width:low,0,0.9795432277582238,0.9795432277582238,/1.0
1550,cell_width:low,1,1.8851198014193609,1.8851198014193609,x1.9
1551,cell_width:mid,0,0.9706138970089675,0.9706138970089675,/1.0
1552,cell_width:mid,1,1.9110213882868243,1.9110213882868243,x1.9
1553,cell_width:very_low,0,0.9493180543876194,0.9493180543876194,/1.1
1554,cell_width:very_low,1,2.1414024069963156,2.1414024069963156,x2.1
1555,gc:high,0,1.0160899359424547,1.0160899359424547,x1.0
1556,gc:high,1,0.8171246813952996,0.8171246813952996,/1.2
1557,gc:low,0,0.9679078561605768,0.9679078561605768,/1.0
1558,gc:low,1,1.3585863396436084,1.3585863396436084,x1.4
1559,gc:mid1,0,0.9545267984350542,0.9545267984350542,/1.0
1560,gc:mid1,1,1.5414112343918083,1.5414112343918083,x1.5
1561,gc:mid2,0,0.9737495726811904,0.9737495726811904,/1.0
1562,gc:mid2,1,1.3595195147717227,1.3595195147717227,x1.4
1563,gram_stain:negative,0,0.7741154452287624,0.7741154452287624,/1.3
1564,gram_stain:negative,1,1.8020927181040813,1.8020927181040813,x1.8
1565,gram_stain:positive,0,1.036786319008857,1.036786319008857,x1.0
1566,gram_stain:positive,1,0.8233996127684909,0.8233996127684909,/1.2
1567,gram_stain:variable,0,0.9951415040066816,0.9951415040066816,/1.0
1568,gram_stain:variable,1,1.813230497573204,1.813230497573204,x1.8
1569,isolation_source:abdomen,0,1.0007847708801165,1.0007847708801165,x1.0
1570,isolation_source:abort,0,1.001055672852539,1.001055672852539,x1.0
1571,isolation_source:abscess,0,1.0110297260255405,1.0110297260255405,x1.0
1572,isolation_source:acidic,0,1.007408194572827,1.007408194572827,x1.0
1573,isolation_source:activated-sludge,0,1.0110359431167317,1.0110359431167317,x1.0
1574,isolation_source:agriculture,0,1.0019232274302583,1.0019232274302583,x1.0
1575,isolation_source:air,0,1.0041412318221405,1.0041412318221405,x1.0
